Facility Information,,,,,,,,,,,,,,, Capacity ,,Population,,,,ADP: Fiscal Year,,,,,,,,,,ADP - Monthly,,,,,,,,,,,,,Facility Average Length of Stay,,,,Facility Bookins,,,,Initial Bookins,,,,ADP: Initial Bookins,,,,ADP: Criminality,,,,,,,,FY18 ADP: Detainee Classification Level,,,,FY18 ADP: Criminality and Gender,,,,FY18 ADP: ICE Threat Level,,,,FY18 ADP: Mandatory Detention,,Medical,,Contract,,,,,,,Standards Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility Statistics - FY 2018,,,,Facility Statistics - FY 2017,,,
DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Male/Female,"Levels A,B,C,D",Capacity,Current FY Utilization,Population Count,Date of Last Use,Date of First Use,FY18 Max Population Count,FY18 ADP,FY17 ADP,FY16 ADP,FY15 ADP,FY14 ADP,FY13 ADP,FY12 ADP,FY11 ADP,FY10 ADP,FY09 ADP,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,FY18 ALOS,FY17 ALOS,FY16 ALOS,FY15 ALOS,FY18 Facility Bookins,FY17 Facility Bookins,FY16 Facility Bookins,FY15 Facility Bookins,FY18 Initial Bookins,FY17 Initial Bookins,FY16 Initial Bookins,FY15 Initial Bookins,FY18 Initial Bookin ADP,FY17 Initial Bookin ADP,FY16 Initial Bookin ADP,FY15 Initial Bookin ADP,FY18 Non-Criminal,FY18 Criminal,FY17 Non-Criminal,FY17 Criminal,FY16 Non-Criminal,FY16 Criminal,FY15 Non-Criminal,FY15 Criminal,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Non-Mandatory,Medical Provider Onsite?,Provider Type,Facility Operator,Facility Owner,Best Known Contract Initiation Date,Best Known Contract Expiration Date,Guaranteed Minimum,Per Diem Rate Detailed,ICE Telephone Services,Authorization Status,Authorizing Authority,Over/Under 72,Contractually Obligated Inspection Standard,PREA/Standard 2.11 Status,Current Inspection Frequency,Last Inspection Type,Last Inspection Standard,Last Inspection Pre-Occ?,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Standard,Second to Last Inspection Pre-Occ?,Second to Last Rating,Second to Last Inspection Date,Next Inspection Date,Next Inspection Standard,Next Inspection Type,Next Insp Pre-Occ?,CY17 Rating,CY16 Rating,CY15 RATING,CY14 RATING,CY13 RATING,CY12 RATING,CY11 RATING,CY10 RATING,EMDD Notes,EMDD USE,ACA,NCCHC,JCHCO,DSM Assigned?,DSM Assignment Type,FY18 Calendar Days in Use,FY18 Possible Days,FY18 % of Days in Use,FY18 Total Mandays,FY17 Calendar Days in Use,FY17 % of Days in Use,FY17 Total Mandays,FY17 Max Pop Count
COLOMNY,COLOMBIA COUNTY JAIL,85 INDUSTRIAL TRACT,HUDSON,ORANGE,NY,12543,2,BUF,ALB,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/25/10,11/14/89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$90.00,,NOT INSPECTED,DMCP,Under 72,,,N/A,Regular,NDS,No,Superior,Acceptable,10/7/08,Regular,NDS,No,Superior,10/16/07,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COMHICO,COLORADO MENTAL HEALTH INSTITUTE,1600 WEST 24TH STREET,PUEBLO,PUEBLO,CO,81003,10,DEN,DEN,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COLQUGA,COLQUITT COUNTY JAIL,COLQUITT COUNTY SHERIFFS DEPT.,MOULTRIE,COLQUITT,GA,31776,11,ATL,ATL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,4/14/08,6/17/97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,USE PROHIBITED,DMCP,Under 72,,,N/A,Regular,NDS,No,Good,At-Risk,10/22/08,Regular,NDS,No,Good,3/26/08,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COLCASC,COLUMBIA CARE CENTER,7901 FARROW ROAD,COLUMBIA,RICHLAND,SC,29203,4,ATL,CHL,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,19,11/4/17,3/5/99,20,18,14,7,10,1,0,0,0,22,33,8,11,12,12,17,13,13,15,15,15,22,18,19,41,42,48,68,53,117,54,58,3,7,3,2,4,2,1,0,5,13,4,10,2,5,2,8,4,2,1,11,12,5,1,0,9,2,2,5,13,5,,,HOSPITAL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,35,400,9%,"7,143",372,102%,"4,960",27
COLUMPA,COLUMBIA COUNTY,721 IRON ST.,BLOOMSBURG,COLUMBIA,PA,17815,3,PHI,ALW,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/14/10,8/1/08,0,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,9/28/07,,,$75.00,,NOT INSPECTED,DMCP,Over 72,,,N/A,Regular,NDS,No,Acceptable,Not Rated,9/9/10,Regular,NDS,No,Superior,9/17/09,,N/A,N/A,No,,,,,,,,Acceptable,2008 DEFICIENT,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COLUMOR,COLUMBIA COUNTY JAIL,901 PORT AVENUE,SAINT HELENS,COLUMBIA,OR,97051,9,SEA,POO,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,4/24/14,7/19/91,0,0,0,0,0,3,5,1,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,CORRECTIONAL HEALTHCARE MGMT.,COUNTY (SHERIFF),COUNTY,3/10/09,,,$78.00,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,FPBDS,,N/A,ORSA,NDS,No,Acceptable,Not Rated,9/28/13,Regular,NDS,No,Acceptable,11/15/11,,N/A,N/A,No,,,,,Acceptable,,Acceptable,Acceptable,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CFALSMT,COLUMBIA FALLS POLICE DEPARTMENT,130 6TH ST. W.,COLUMBIA FALLS,FLATHEAD,MT,59912,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,3/29/06,1/23/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CKHOSFL,COLUMBIA KENDAL HOSPITAL,11750 S.W. BIRD RD.,MIAMI,MIAMI-DADE,FL,33175,11,MIA,KRO,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,0,10/18/17,1/29/97,1,0,3,1,1,1,1,1,0,0,1,2,3,3,3,3,4,3,2,2,1,2,0,0,4,2,2,2,87,373,288,252,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,6,400,2%,69,324,89%,915,6
COAHOLD,"COLUMBIA, SC HOLDROOM","1835 ASSEMBLY DRIVE, ROOM 1569",COLUMBIA,RICHLAND,SC,29201,4,ATL,ATL,Other,HOLD,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,7/25/17,8/27/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,87,529,83,136,58,410,73,116,53,44,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,0,400,0%,0,9,2%,10,2
CLMHOLD,COLUMBUS HOLDROOM,50 WEST BROAD ST,COLUMBUS,FRANKLIN,OH,43215,6,DET,,Other,HOLD,Yes,Male,"A, B, C",AS NEEDED,,0,12/19/15,12/11/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,1,5,13,0,0,3,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,0,400,0%,0,0,0%,0,0
COMALTX,COMAL CITY JAIL,C/O JAIL ADMINISTRATOR,NEW BRAUNFELS,COMAL,TX,78130,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,7/10/08,7/1/91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,Regular,NDS,No,Superior,Acceptable,9/7/07,Regular,NDS,No,Superior,9/8/06,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COMFTFL,COMFORT SUITES HOTEL,3901 SW 117TH AVE.,MIAMI,MIAMI-DADE,FL,33175,11,MIA,KRO,Other,Other,Yes,Female/Male,A,AS NEEDED,,0,10/18/17,1/21/00,2,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,2,2,3,11,111,104,124,10,93,92,114,10,10,3,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,3,400,1%,46,86,24%,188,7
CMPJVNY,COMPASS HOUSE SHELTER,370 LINWOOD AVE,BUFFALO,ERIE,NY,14209,2,BUF,BUF,IGSA,JUVENILE,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,8/16/17,9/23/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3,5,0,3,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,OTHER,,,,,b)(4),,AUTHORIZED,JFRMU,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,5,1%,5,1
CONCOLA,CONCORDIA PARISH C C,26356 HWY 15,FERRIDAY,CONCORDIA,LA,71334,5,NOL,OAK,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/18/05,2/10/87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,Regular,NDS,No,Superior,Acceptable,9/9/06,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CONEJCO,CONEJOS COUNTY JAIL,14044 CO ROAD G5,ANTONITO,CONEJOS,CO,81120,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,6/25/14,5/3/06,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY (SHERIFF),COUNTY,7/3/07,,,$55.65,,NOT INSPECTED,DMCP,Under 72,NDS,,N/A,ORSA,NDS,No,Acceptable,,6/30/14,ORSA,NDS,No,Acceptable,8/7/13,,N/A,N/A,No,,,,Acceptable,Acceptable,,,Superior,2009 DEFICIENT,Yes,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CONCOCA,CONTRA COSTA COUNTY JAIL,1000 WARD STREET,MARTINEZ,CONTRA COSTA,CA,94553,9,SFR,SFR,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/30/17,4/6/10,2,0,0,1,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,42,119,43,1,4,85,19,1,1,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY,,,,,$85.00,,NOT INSPECTED,DMCP,Over 72,FPBDS,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,2,400,1%,46,21,6%,45,11
CONWECA,CONTRA COSTA COUNTY JAIL WEST,5555 GIANT HIGHWAY,RICHMOND,CONTRA COSTA,CA,94806,9,SFR,SFR,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",318,66%,214,11/4/17,4/5/10,231,211,203,196,120,233,160,120,122,53,0,220,215,201,193,183,198,196,212,223,187,188,211,214,61,49,43,50,263,"1,321","1,586",975,12,33,47,39,12,13,17,5,53,158,36,167,35,161,27,92,33,47,70,61,129,46,28,7,56,60,41,55,111,100,YES,COUNTY,COUNTY (SHERIFF),COUNTY,9/21/09,,,$82.00,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,Annual,Regular,NDS,No,Pending,Acceptable,10/26/17,Regular,NDS,No,Acceptable,10/20/16,,NDS,Regular,No,Pending,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,No,NO,NO,NO,No,NONE,35,400,9%,"84,514",372,102%,"74,153",274
CONVEWY,CONVERSE COUNTY JAIL,107 NORTH 5TH STREET,DOUGLAS,CONVERSE,WY,82633,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,4/29/09,4/6/92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CCHOSIL,COOK COUNTY HOSPITAL,1900 WEST POLK ST,CHICAGO,COOK,IL,60612,7,CHI,CHI,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,0,2/8/06,2/3/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CCHHSIL,COOK COUNTY HOSPITAL-JHS,1969 W OGDEN AVE,CHICAGO,COOK,IL,60612,7,CHI,,Other,HOSPITAL,No,Female/Male,,AS NEEDED,,0,9/1/16,8/29/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,0,400,0%,0,0,0%,0,0
AKCOOKI,COOK INLET PRETRIAL (ANCHORAGE),1300 E 4TH AVENUE,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,"B, C, D",AS NEEDED,,0,5/25/17,2/4/91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,10,2,4,1,2,2,4,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,,,,$142.66,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,20,5%,21,2
COOKETX,COOKE COUNTY JAIL,301 SOUTH CHESTNUT ST,GAINSVILLE,COOKE,TX,76240,5,DAL,DAL,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/30/91,10/2/89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COOSCOR,COOS COUNTY,COOS COUNTY SHERIFF'S OFFICE,COQUILLE,COOS,OR,97423,9,SEA,POO,IGSA,IGSA,Yes,Male,"A, B, C",AS NEEDED,,0,10/17/17,10/16/96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,21,8,4,8,21,8,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,$80.00,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,1,400,0%,23,13,4%,21,5
CCALEKS,"CORRECTIONAL CORPORATION OF AMERICA (JEFFERSON, OK",100 HIGHWAY TERRACE,LEAVENWORTH,DOUGLAS,KS,66045,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,11/27/03,5/16/97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CCA,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CTCORCI,CORRIGAN CORRECTIONAL INSTITUTE,986 NORWICH-NEW LONDON TURNPIKE,UNCASVILLE,NEW LONDON,CT,06382,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/6/06,10/30/98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CORCONY,CORTLAND COUNTY JAIL,54 GREENBUSH STREET,CORTLAND,CORTLAND,NY,13045,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,11/1/07,4/29/97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CORTYTX,CORYELL COUNTY JAIL,COUNTY SHERIFF,COPPERAS COVE,CORYELL,TX,76528,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,12/25/06,3/5/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COSTACA,COSTA MESA COLLEGE HOSPITAL,301 VICTORIA ST.,COSTA MESA,ORANGE,CA,92627,9,LOS,LOS,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,0,5/6/12,5/19/08,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COSTICO,COSTILLA COUNTY JAIL,103 GASPER STREET,SAN LUIS,COSTILLA,CO,81152,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/13/07,10/22/92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COWLIWA,COWLITZ COUNTY JAIL,312 FIRST AVE WEST,KELSO,COWLITZ,WA,98626,9,SEA,POO,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/23/07,1/24/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
COWJVWA,COWLITZ COUNTY JUVENILE,1725 1ST AVE.,LONGVIEW,COWLITZ,WA,98632,9,SEA,POO,IGSA,JUVENILE,Yes,Female/Male,"A, B, C, D",AS NEEDED,,3,11/4/17,10/2/07,3,2,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,3,242,99,,1,1,3,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,,,COUNTY,,,,,$136.42,,AUTHORIZED,JFRMU,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,35,400,9%,891,200,55%,234,3
CRGHOLD,CRAIG HOLDROOM,466 TUCKER STREET,CRAIG,MOFFAT,CO,81625,10,DEN,DEN,Other,HOLD,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,8/1/17,8/1/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,23,145,64,60,9,57,27,24,9,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1
CRAWFIA,CRAWFORD COUNTY JAIL,1119 1ST AVE,DENISON,CRAWFORD,IA,51442,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/13/03,4/10/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
CRAWFMI,"CRAWFORD COUNTY JAIL (GRAYLING, MICHIGAN)",200 WEST MICHIGAN,GRAYLING,CRAWFORD,MI,49738,6,DET,DET,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,8/26/04,8/28/91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Over 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
