DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,Male.Crim,Male.Non.Crim,Female.Crim,Female.Non.Crim,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use,FY18.Possible.Days,FY18...of.Days.in.Use,FY18.Total.Mandays,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,capacity
COOKETX,301 SOUTH CHESTNUT ST GAINSVILLE TX,323,-97.14747997,33.62251999,COOKE COUNTY JAIL,GAINSVILLE,COOKE,TX,76240,5,DAL,DAL,IGSA,IGSA,Yes,Female/Male,0,,0,10/30/91,10/2/89,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
COOSCOR,COOS COUNTY SHERIFF'S OFFICE COQUILLE OR,324,-124.18933,43.1756,COOS COUNTY,COQUILLE,COOS,OR,97423,9,SEA,POO,IGSA,IGSA,Yes,Male,0,,0,10/17/17,10/16/96,1996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$80.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,1,400,0%,23,13,4%,21,5,1
CORCONY,54 GREENBUSH STREET CORTLAND NY,327,-76.17575002,42.59880001,CORTLAND COUNTY JAIL,CORTLAND,CORTLAND,NY,13045,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,11/1/07,4/29/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CORTYTX,COUNTY SHERIFF COPPERAS COVE TX,328,-97.90363,31.12416,CORYELL COUNTY JAIL,COPPERAS COVE,CORYELL,TX,76528,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,12/25/06,3/5/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
COSTACA,301 VICTORIA ST. COSTA MESA CA,329,-117.912058,33.651853,COSTA MESA COLLEGE HOSPITAL,COSTA MESA,ORANGE,CA,92627,9,LOS,LOS,Other,HOSPITAL,No,Female/Male,0,,0,5/6/12,5/19/08,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
COSTICO,103 GASPER STREET SAN LUIS CO,330,-105.4265401,37.19831912,COSTILLA COUNTY JAIL,SAN LUIS,COSTILLA,CO,81152,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,9/13/07,10/22/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
COWJVWA,1725 1ST AVE. LONGVIEW WA,332,-122.91945,46.14054,COWLITZ COUNTY JUVENILE,LONGVIEW,COWLITZ,WA,98632,9,SEA,POO,IGSA,JUVENILE,Yes,Female/Male,0,,3,11/4/17,10/2/07,2007,3,0,2,0,1,0,1,0,0,2,0,0,0,2,1,,,COUNTY,,NA,NA,#VALUE!,NA,$136.42 ,,AUTHORIZED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,35,400,9%,891,200,55%,234,3,1
COWLIWA,312 FIRST AVE WEST KELSO WA,331,-122.9188328,46.13933007,COWLITZ COUNTY JAIL,KELSO,COWLITZ,WA,98626,9,SEA,POO,IGSA,IGSA,Yes,Female/Male,0,,0,9/23/07,1/24/96,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CRAWFIA,1119 1ST AVE DENISON IA,334,-95.35699003,42.01778999,CRAWFORD COUNTY JAIL,DENISON,CRAWFORD,IA,51442,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,1/13/03,4/10/96,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CRAWFMI,200 WEST MICHIGAN GRAYLING MI,335,-84.71623146,44.66034609,"CRAWFORD COUNTY JAIL (GRAYLING, MICHIGAN)",GRAYLING,CRAWFORD,MI,49738,6,DET,DET,IGSA,IGSA,Yes,Female/Male,0,,0,8/26/04,8/28/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CRGHOLD,466 TUCKER STREET CRAIG CO,333,-107.54512,40.51352,CRAIG HOLDROOM,CRAIG,MOFFAT,CO,81625,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,8/1/17,8/1/17,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1,1
CRIHOLD,UNAVAILABLE CEDAR RAPIDS IA,229,-91.67346,41.97646,CEDAR RAPIDS HOLD ROOM,CEDAR RAPIDS,LINN,IA,52401,8,SPM,OMA,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CROWGMN,313 LAUREL ST BRAINERD MN,336,-94.20528301,46.35662199,CROW WING COUNTY JAIL,BRAINERD,CROW WING,MN,56401,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,8/25/11,7/21/11,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CRTOSCA,10802 COLLEGE PLACE CERRITOS CA,238,-118.102987,33.88432198,CERRITOS  COLLEGE HOSPITAL,CERRITOS,LOS ANGELES,CA,90703,9,LOS,LOS,Other,HOSPITAL,No,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CRYCCTX,6901 N HIGHWAY 83 CRYSTAL CITY TX,337,-99.84900348,28.77046053,CRYSTAL CITY CORRECTIONAL CENTER,CRYSTAL CITY,ZAVALA,TX,78839,5,SNA,SNA,USMS IGA,USMS IGA,Yes,Female/Male,350,0%,0,1/5/14,12/20/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,5/13/10,NA,#VALUE!,NA,$52.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,7/11/13,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,350
CSCNWWA,1623 E. J STREET TACOMA WA,931,-122.421653,47.24928801,NORTHWEST DETENTION CENTER,TACOMA,PIERCE,WA,98421,9,SEA,TAC,CDF,CDF,Yes,Female/Male,"1,575",88%,NA,11/4/17,6/7/01,2001,"1,438",690,701,655,768,682,729,452,680,651,630,50,60,920,470,YES,IHSC,GEO,GEO,9/28/15,9/27/25,2025,1181,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,4/20/17,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,35,400,9%,"556,274",372,102%,"519,386","1,563",1575
CSCSFGA,6500 WATSON STREET UNION CITY GA,338,-84.5513037,33.57907313,CSC SOUTH FULTON MUNICIPAL JAIL,UNION CITY,FULTON,GA,30291,11,ATL,ATL,IGSA,IGSA,Yes,Female/Male,0,,0,3/7/06,4/4/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CSPHOLD,150 E. B STREET CASPER WY,216,-106.324214,42.85230698,CASPER HOLDROOM,CASPER,NATRONA,WY,82601,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,10/4/17,11/10/10,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,2,400,1%,23,2,1%,0,1,1
CSYJVNY,710 CEDAR AVE BUFFALO NY,215,-93.8754537,45.1610901,CASEY HOUSE SHELTER,BUFFALO,NIAGARA,NY,14301,2,BUF,BUF,IGSA,JUVENILE,Yes,Female/Male,0,,0,5/3/15,4/25/07,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ORR,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTBRICC,1106 NORTH AVENUE BRIDGEPORT CT,144,-73.19908515,41.18992219,BRIDGEPORT CORRECTIONAL CENTER,BRIDGEPORT,FAIRFIELD,CT,6604,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,3/14/05,5/25/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTCORCI,986 NORWICH-NEW LONDON TURNPIKE UNCASVILLE CT,326,-72.10738526,41.45217115,CORRIGAN CORRECTIONAL INSTITUTE,UNCASVILLE,NEW LONDON,CT,6382,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,10/6/06,10/30/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTGARCI,50 NUNNSWAUK ROAD NEWTOWN CT,517,-73.27577053,41.39600356,GARNER CORRECTIONAL INSTITUTE,NEWTOWN,FAIRFIELD,CT,6470,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,1/31/07,8/10/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTLAFSL,101 LAFAYETTE STREET HARTFORD CT,705,-72.6828873,41.76070337,LAFAYETTE SHERIFFS LOCK,HARTFORD,HARTFORD,CT,6106,2,BOS,HAR,Other,HOLD,Yes,Female/Male,0,,0,6/26/13,10/29/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (SHERIFF),,NA,NA,#VALUE!,NA,$50.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,Not Rated,1/13/10,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTMANYI,42 JARVIS STREET CHESHIRE CT,788,-72.89969297,41.52882199,MANSON YOUTH INSTITUTE,CHESHIRE,NEW HAVEN,CT,6410,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,7/26/07,1/17/07,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTNEACI,251 MIDDLE TURNPIKE STORRS CT,919,-72.29353133,41.81521854,NORTHEAST CORRECTIONAL CENTER,STORRS,TOLLAND,CT,6268,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,8/25/03,4/26/02,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTNRNCI,287 BILTON ROAD SOMERS CT,922,-72.49719004,42.01791002,NORTHERN CORRECTIONAL INSTITUTE,SOMERS,TOLLAND,CT,6071,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,3/14/04,1/11/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTOSBCI,100 BILTON ROAD SOMERS CT,974,-72.50073168,42.03154597,OSBORN CORRECTIONAL INSTITUTE,SOMERS,TOLLAND,CT,6071,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,1/29/07,6/1/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,10/25/07,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTROBCI,285 SHAKER ROAD ENFIELD CT,1107,-72.52094556,42.01413678,ROBINSON CORRECTIONAL INSTITUTE,ENFIELD,HARTFORD,CT,6082,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,3/18/03,6/1/00,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CTYORCI,201 WEST MAIN STREET NIANTIC CT,1467,-72.23296906,41.31925079,YORK CORRECTIONAL INSTITUTION,NIANTIC,NEW LONDON,CT,6357,2,BOS,HAR,IGSA,IGSA,Yes,Female/Male,0,,0,7/23/09,10/17/97,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$80.86 ,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,12/11/08,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CULBETX,301 LA CAVERNA VAN HORN TX,342,-104.8310434,31.04313062,CULBERSON COUNTY,VAN HORN,CULBERSON,TX,79855,5,ELP,,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$37.19 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,8/8/08,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CULPEVA,131 W. CAMERON ST. CULPEPER VA,343,-77.996751,38.47401902,CULPEPER COUNTY ADULT DETENTION CENTER,CULPEPER,CULPEPER,VA,22701,4,WAS,HBG,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CUMBEIL,228 NORTH CENTRAL AVENUE PARIS IL,346,-87.69594,39.61295001,CUMBERLAND COUNTY JAIL,PARIS,CUMBERLAND,IL,61944,7,CHI,CHI,IGSA,IGSA,Yes,Female/Male,0,,0,11/6/02,10/16/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CUMBEME,50 COUNTY WAY PORTLAND ME,345,-70.28184004,43.65116099,CUMBERLAND COUNTY JAIL,PORTLAND,CUMBERLAND,ME,4102,1,BOS,POM,USMS IGA,USMS IGA,Yes,Male,70,4%,5,11/4/17,5/26/93,1993,6,2,1,1,2,0,0,0,0,1,2,0,0,0,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,1/8/97,NA,#VALUE!,NA,$130.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,,8/22/17,Acceptable,,No,YES,YES,NO,No,NONE,35,400,9%,"1,109",351,96%,"1,159",12,70
CURRYNM,801 MITCHELL STREET CLOVIS NM,348,-103.206354,34.40630002,CURRY COUNTY DETENTION FACILITY,CLOVIS,CURRY COUNTY,NM,88101,10,ELP,EPC,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CUSTEMT,1010 MAIN STREET MILES CITY MT,349,-105.84507,46.40781999,CUSTER COUNTY JAIL,MILES CITY,CUSTER,MT,59301,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,10/28/08,3/12/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
CVREGVA,13021 JAMES MADISON HWY ORANGE COUNTY VA,235,-78.11670601,38.22744602,CENTRAL VA REGIONAL JAIL,ORANGE COUNTY,ORANGE,VA,22960,4,WAS,WAS,IGSA,IGSA,Yes,Female/Male,0,,0,2/27/17,9/5/90,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (JAILER),,NA,NA,#VALUE!,NA,$50.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,2,1%,2,1,1
DADECFL,1321 NW 13 STREET MIAMI FL,350,-80.21669102,25.78662999,DADE COUNTY CORRECTIONAL,MIAMI,MIAMI-DADE,FL,33034,11,MIA,MIA,IGSA,IGSA,Yes,Female/Male,0,,0,5/17/07,12/12/88,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAKOTNE,1601 BROADWAY DAKOTA CITY NE,351,-96.41876586,42.41541926,DAKOTA COUNTY JAIL,DAKOTA CITY,DAKOTA,NE,68731,8,SPM,OMA,USMS IGA,USMS IGA,Yes,Female/Male,20,11%,2,11/4/17,11/21/94,1994,6,1,1,0,2,0,1,0,0,1,1,0,0,1,1,YES,COUNTY,COUNTY (SHERIFF),COUNTY,5/16/07,NA,#VALUE!,NA,$65.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,9/21/17,Acceptable,,Yes,NO,NO,NO,No,NONE,28,400,7%,880,265,73%,850,14,20
DALCOIA,201 NORTH 8TH STREET ADEL IA,356,-94.01758224,41.61872864,DALLAS COUNTY SHERIFFS OFFICE,ADEL,DALLAS,IA,50003,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,8/1/05,9/17/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DALCOTX,111 WEST COMMERCE STREET DALLAS TX,355,-96.82297194,32.77489577,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,DALLAS,TX,75202,5,DAL,DAL,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,11/4/17,5/7/90,1990,22,3,5,1,2,0,0,0,0,5,3,0,0,2,7,,,COUNTY,COUNTY,NA,NA,#VALUE!,NA,$55.00 ,,AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,10/20/17,Acceptable,,No,NO,NO,NO,No,,32,400,8%,"3,486",161,44%,"1,213",21,1
DALHOLD,8101 N STEMMONS FWY DALLAS TX,357,-96.872128,32.82358602,DALLAS FIELD OFFICE HOLD ROOM,DALLAS,DALLAS,TX,75247,5,DAL,DAL,Other,HOLD,Yes,Male,0,,0,9/25/17,2/26/97,1997,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,308,84%,470,22,1
DANCOWI,21 MARTIN LUTHER KING DRIVE MADISON WI,359,-89.382995,43.07394943,DANE COUNTY JAIL,MADISON,DANE,WI,53703,7,CHI,CHI,IGSA,IGSA,Yes,Female/Male,0,,0,12/4/07,2/12/99,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,5/24/07,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAPHNAL,1502 US HWY 98 DAPHNE AL,360,-87.89663503,30.60009099,DAPHNE POLICE DEPARTMENT CORRECTIONAL CENTER,DAPHNE,BALDWIN,AL,36526,11,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,11/21/04,6/2/04,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAUPHPA,501 MALL ROAD HARRISBURG PA,361,-76.83441103,40.25279001,"DAUPHIN COUNTY JAIL, PA",HARRISBURG,DAUPHIN,PA,17111,3,PHI,,Other,Other,Yes,Female/Male,0,,0,7/3/17,7/3/17,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,,,,No,,0,400,0%,0,1,0%,1,1,1
DAVIDTN,448 2ND AVENUE NASHVILLE TN,362,-86.77152404,36.15718001,DAVIDSON COUNTY SHERIFF,NASHVILLE,DAVIDSON,TN,37210,6,NOL,NOL,IGSA,IGSA,Yes,Male,0,,3,11/4/17,5/21/97,1997,18,3,5,1,4,0,4,0,4,5,3,0,0,3,5,YES,COUNTY,COUNTY (SHERIFF),COUNTY,8/9/07,NA,#VALUE!,NA,$61.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,,8/29/17,Acceptable,,No,YES,NO,NO,No,NONE,34,400,9%,"3,303",355,97%,"1,740",16,1
DAVISSD,1015 SOUTH MILLER AVENUE MITCHELL SD,364,-98.03662999,43.70063001,DAVISON COUNTY (SOUTH DAKOTA),MITCHELL,DAVISON,SD,57301,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,11/16/05,5/13/96,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAVISUT,800 WEST STATE STREET FARMINGTON UT,363,-111.904153,40.980526,DAVIS COUNTY,FARMINGTON,DAVIS,UT,84025,10,SLC,SLC,IGSA,IGSA,Yes,Female/Male,0,,0,7/14/08,9/6/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Deficient,10/23/08,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAWSOMT,207 WEST BELL GLENDIVE MT,365,-104.71552,47.10501999,DAWSON COUNTY JAIL,GLENDIVE,DAWSON,MT,59330,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,9/23/13,6/4/06,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,COUNTY,,NA,NA,#VALUE!,NA,$58.60 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DAWSONE,709 N GRANT ST LEXINGTON NE,366,-99.74021595,40.77997264,DAWSON COUNTY JAIL,LEXINGTON,DAWSON,NE,68850,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,6/30/04,1/26/94,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
DCDOCDC,1923 VERMONT AVENUE NORTHWEST WASHINGTON DC,367,-77.02536872,38.91629978,DC DEPARTMENT OF CORRECTIONS,WASHINGTON,DISTRICT OF COLUMBIA,DC,20001,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,11/3/09,3/9/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CCA,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
