DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Female Level A,Female Level B,Female Level C,Female Level D,Male Level A,Male Level B,Male Level C ,Male Level D ,Female Level A ,Female Level B ,Female Level C ,Female Level D ,Male Level A ,Male Level B ,Male Level C,Male Level D,Female Non-Crim,Female Crim,Male Non-Crim,Male Crim,Female Non-Crim ,Female Crim ,Male Non-Crim ,Male Crim 
AKCOOKI,COOK INLET PRETRIAL (ANCHORAGE),1300 E 4TH AVENUE,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOKETX,COOKE COUNTY JAIL,301 SOUTH CHESTNUT ST,GAINSVILLE,COOKE,TX,76240,5,DAL,DAL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOSCOR,COOS COUNTY,COOS COUNTY SHERIFF'S OFFICE,COQUILLE,COOS,OR,97423,9,SEA,POO,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCALEKS,"CORRECTIONAL CORPORATION OF AMERICA (JEFFERSON, OK",100 HIGHWAY TERRACE,LEAVENWORTH,DOUGLAS,KS,66045,10,CHI,KAN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCORCI,CORRIGAN CORRECTIONAL INSTITUTE,986 NORWICH-NEW LONDON TURNPIKE,UNCASVILLE,NEW LONDON,CT,6382,2,BOS,HAR,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCONY,CORTLAND COUNTY JAIL,54 GREENBUSH STREET,CORTLAND,CORTLAND,NY,13045,2,BUF,BUF,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORTYTX,CORYELL COUNTY JAIL,COUNTY SHERIFF,COPPERAS COVE,CORYELL,TX,76528,5,SNA,SNA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSTACA,COSTA MESA COLLEGE HOSPITAL,301 VICTORIA ST.,COSTA MESA,ORANGE,CA,92627,9,LOS,LOS,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSTICO,COSTILLA COUNTY JAIL,103 GASPER STREET,SAN LUIS,COSTILLA,CO,81152,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COWLIWA,COWLITZ COUNTY JAIL,312 FIRST AVE WEST,KELSO,COWLITZ,WA,98626,9,SEA,POO,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COWJVWA,COWLITZ COUNTY JUVENILE,1725 1ST AVE.,LONGVIEW,COWLITZ,WA,98632,9,SEA,POO,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
CRGHOLD,CRAIG HOLDROOM,466 TUCKER STREET,CRAIG,MOFFAT,CO,81625,10,DEN,DEN,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAWFIA,CRAWFORD COUNTY JAIL,1119 1ST AVE,DENISON,CRAWFORD,IA,51442,8,SPM,OMA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAWFMI,"CRAWFORD COUNTY JAIL (GRAYLING, MICHIGAN)",200 WEST MICHIGAN,GRAYLING,CRAWFORD,MI,49738,6,DET,DET,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROWGMN,CROW WING COUNTY JAIL,313 LAUREL ST,BRAINERD,CROW WING,MN,56401,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYCCTX,CRYSTAL CITY CORRECTIONAL CENTER,6901 N HIGHWAY 83,CRYSTAL CITY,ZAVALA,TX,78839,5,SNA,SNA,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSCSFGA,CSC SOUTH FULTON MUNICIPAL JAIL,6500 WATSON STREET,UNION CITY,FULTON,GA,30291,11,ATL,ATL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASPSAC,CSP-SACRAMENTO,100 PRISON ROAD,REPRESA,SACRAMENTO,CA,95671,9,SFR,,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASPSOL,CSP-SOLANO,2100 PEABODY ROAD,VACAVILLE,SOLANO,CA,95696,9,SFR,SFR,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATFSOL,CTF-SOLEDAD,P.O. BOX 686,SOLEDAD,MONTEREY,CA,93960,9,SFR,SFR,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CULBETX,CULBERSON COUNTY,301 LA CAVERNA,VAN HORN,CULBERSON,TX,79855,5,ELP,,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CULPEVA,CULPEPER COUNTY ADULT DETENTION CENTER,131 W. CAMERON ST.,CULPEPER,CULPEPER,VA,22701,4,WAS,HBG,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW608,CUMBERLAND COUNTY DETENTION CENTER,204 GILLESPIE ST,FAYETTEVILLE,CUMBERLAND,NC,28301,4,ATL,,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUMBEME,CUMBERLAND COUNTY JAIL,50 COUNTY WAY,PORTLAND,CUMBERLAND,ME,4102,1,BOS,POM,USMS IGA,USMS IGA,Yes,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
CUMBEIL,CUMBERLAND COUNTY JAIL,228 NORTH CENTRAL AVENUE,PARIS,CUMBERLAND,IL,61944,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPCUM,CUMBERLAND FEDERAL CORRECTIONAL INSTITUTE,14601 BURBRIDGE ROAD SE,CUMBERLAND,ALLEGANY,MD,21502,4,BAL,BAL,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURRYNM,CURRY COUNTY DETENTION FACILITY,801 MITCHELL STREET,CLOVIS,CURRY COUNTY,NM,88101,10,ELP,EPC,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSTEMT,CUSTER COUNTY JAIL,1010 MAIN STREET,MILES CITY,CUSTER,MT,59301,9,SLC,HEL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADECFL,DADE COUNTY CORRECTIONAL,1321 NW 13 STREET,MIAMI,MIAMI-DADE,FL,33034,11,MIA,MIA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAKOTNE,DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,DAKOTA,NE,68731,8,SPM,OMA,USMS IGA,USMS IGA,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
BOPDAL,DALBY CORRECTIONAL INSTITUTE,805 NORTH AVENUE F,POST,GARZA,TX,79356,5,DAL,,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTDCORR,DALE CORRECTIONAL FACILITY (VERMONT DEPARTMENT OF ,103 SOUTH MAIN STREET,WATERBURY,WASHINGTON,VT,5671,2,BOS,BOS,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAILEID,DALE G. HAILE DETENTION CENTER,1115 ALBANY,CALDWELL,CANYON,ID,83605,9,SLC,BOI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALCOTX,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,111 WEST COMMERCE STREET,DALLAS,DALLAS,TX,75202,5,DAL,DAL,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALCOIA,DALLAS COUNTY SHERIFFS OFFICE,201 NORTH 8TH STREET,ADEL,DALLAS,IA,50003,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALHOLD,DALLAS FIELD OFFICE HOLD ROOM,8101 N STEMMONS FWY,DALLAS,DALLAS,TX,75247,5,DAL,DAL,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPDAN,DANBURY FEDERAL CORRECTIONAL INSTITUTE,ROUTE 37,DANBURY,FAIRFIELD,CT,6811,2,BOS,HAR,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANCOWI,DANE COUNTY JAIL,21 MARTIN LUTHER KING DRIVE,MADISON,DANE,WI,53703,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAPHNAL,DAPHNE POLICE DEPARTMENT CORRECTIONAL CENTER,1502 US HWY 98,DAPHNE,BALDWIN,AL,36526,11,NOL,NOL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAUPHPA,"DAUPHIN COUNTY JAIL, PA",501 MALL ROAD,HARRISBURG,DAUPHIN,PA,17111,3,PHI,,Other,Other,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVIDTN,DAVIDSON COUNTY SHERIFF,448 2ND AVENUE,NASHVILLE,DAVIDSON,TN,37210,6,NOL,NOL,IGSA,IGSA,Yes,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
DAVISUT,DAVIS COUNTY,800 WEST STATE STREET,FARMINGTON,DAVIS,UT,84025,10,SLC,SLC,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVISSD,DAVISON COUNTY (SOUTH DAKOTA),1015 SOUTH MILLER AVENUE,MITCHELL,DAVISON,SD,57301,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAWSOMT,DAWSON COUNTY JAIL,207 WEST BELL,GLENDIVE,DAWSON,MT,59330,9,SLC,HEL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAWSONE,DAWSON COUNTY JAIL,709 N GRANT ST,LEXINGTON,DAWSON,NE,68850,8,SPM,OMA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCDOCDC,DC DEPARTMENT OF CORRECTIONS,1923 VERMONT AVENUE NORTHWEST,WASHINGTON,DISTRICT OF COLUMBIA,DC,20001,4,WAS,WAS,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEAPDMI,DEARBORN POLICE DEPARTMENT,16099 MICHIGAN AVE,DEARBORN,WAYNE,MI,48126,6,DET,DET,IGSA,IGSA,Yes,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
DEKALAL,DEKALB COUNTY DETENTION CENTER,2801 JORDAN ROAD,FORT PAYNE,DEKALB,AL,35968,11,NOL,NOL,USMS IGA,USMS IGA,Yes,0,0,9,0,5,14,11,3,0,0,0,0,0,0,0,0,1,8,13,20,0,0,0,0
DEKALGA,DEKALB COUNTY JAIL,4415 MEMORIAL DR,DECATUR,DEKALB,GA,30032,11,ATL,ATL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEKABAL,DEKALB COUNTY JAIL,2801 JORDAN RD SW,FT PAYNE,DEKALB COUNTY,AL,35968,11,NOL,,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLAMOCA,DEL AMO PSYCHIATRIC HOSPITAL,23700 CAMINO DEL SOL,TORRANCE,LOS ANGELES,CA,90505,9,LOS,LOS,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLRHOLD,DEL RIO HOLD ROOM,2401 DODSON AVENUE,DEL RIO,VAL VERDE,TX,78840,5,SNA,SNA,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHDFNJ,DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NEWARK,NJ,7105,3,NEW,NEW,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELAWPA,DELAWARE CO JAIL (GEORGE W. HILL),500 CHAYNEY ROAD,THORNTON,DELAWARE,PA,19373,3,PHI,PHI,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELAWNY,DELAWARE COUNTY JAIL,"COURT HOUSE SQUARE, 280 PHOEBEE LANE",DELHI,DELAWARE,NY,13753,2,BUF,BUF,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELWAOH,DELAWARE COUNTY JAIL,844 US 42 NORTH,DELAWARE,DELAWARE,OH,43015,6,DET,,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTACO,DELTA COUNTY JAIL,P.O. BOX 172,DELTA,DELTA,CO,81416,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENTOTX,DENTON COUNTY JAIL,127 NORTH WOODROW LANE,DENTON,DENTON,TX,76205,5,DAL,DAL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENCICO,DENVER CITY PADF,1330 CHEROKEE STREET,DENVER,DENVER,CO,80201,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENICDF,DENVER CONTRACT DETENTION FACILITY,3130 N. OAKLAND ST.,AURORA,ARAPAHOE,CO,80010,10,DEN,DEN,CDF,CDF,Yes,17,13,11,3,173,107,194,128,0,0,0,0,0,0,0,0,20,24,199,403,0,0,0,0
DENVECO,DENVER COUNTY JAIL,10500 EAST SMITH ROAD,DENVER,DENVER,CO,80239,10,DEN,DEN,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNHMCCO,DENVER HEALTH MEDICAL CENTER,777 BANNOCK STREET,DENVER,DENVER,CO,80204,10,DEN,DEN,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENHOLD,DENVER HOLD ROOM,4730 PARIS ST.,DENVER,DENVER,CO,80239,10,DEN,DEN,Other,HOLD,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DEPCOGU,DEPARTMENT OF CORRECTIONS - MANGILAO,3 MASHBURN LANE,MANGILAO,GUAM,GU,96913,9,SFR,AGA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GUDOCHG,DEPARTMENT OF CORRECTIONS HAGATNA ,203 ASPINALL AVENUE,HAGATNA,GUAM,GU,96910,9,SFR,AGA,USMS IGA,USMS IGA,Yes,0,0,0,0,0,7,7,2,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
DEPYOGU,DEPARTMENT OF YOUTH AFFAIRS,"169 SAN ISIDRO ST., BLDG. C",BARRIGADA,GUAM,GU,96921,9,SFR,AGA,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSMHOLD,DES MOINES HOLD ROOM,UNAVAILABLE,DES MOINES,POLK,IA,50301,8,SPM,OMA,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESCHOR,DESCHUTES COUNTY JAIL,DESCHUTES COUNTY SHERIFF'S DEPARTMENT,BEND,DESCHUTES,OR,97701,9,SEA,POO,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSRTVCA,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY ROAD,VICTORVILLE,COUNTY,CA,92395,9,LOS,ADE,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVPSYAZ,DESERT VISTA PSYCHIATRIC,570 WEST BROWN ROAD,MESA,MARICOPA,AZ,85201,9,PHO,FLO,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPDEV,DEVENS FEDERAL MEDICAL CENTER,ISM DEPARTMENT,AYER,MIDDLESEX,MA,1432,1,BOS,BOS,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVILND,DEVILS LAKE LAW ENFORCEMENT CENTER,222 WEST WALNUT,DEVILS LAKE,RAMSEY,ND,58301,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEWITIL,DEWITT COUNTY JAIL,101 WEST WASHINGTON,CLINTON,DE WITT,IL,61727,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICKETX,DICKENS COUNTY DETENTION,100 AIRPORT RD.,SPUR,DICKENS,TX,79370,5,DAL,DAL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIDODGE,"DODGE CORR INSTITUTE, WAU",1 WEST LINCOLN STREET,WAUPUN,DODGE,WI,53963,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DODGEWI,DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,DODGE,WI,53039,7,CHI,CHI,USMS IGA,USMS IGA,Yes,7,2,4,2,30,30,48,54,0,0,0,0,0,0,0,0,6,9,37,125,0,0,0,0
DODGENE,DODGE COUNTY JAIL,428 NORTH BROAD STREET,FREMONT,DODGE,NE,68025,8,SPM,OMA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVHOSTX,DOLLY VINSANT,400 HWY 77 WEST,SAN BENITO,CAMERON,TX,78586,5,SNA,PIC,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONAANM,DONA ANA COUNTY DETENTION CENTER,1850 COPPER LOOP,LAS CRUCES,DONA ANA,NM,88004,10,ELP,ELP,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORCHMD,DORCHESTER COUNTY DETENTION CENTER,829 FIELDCREST ROAD,CAMBRIDGE,DORCHESTER,MD,21613,4,BAL,WCD,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLWI,DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,DOUGLAS,WI,54880,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLMN,DOUGLAS COUNTY,BOX 56,ALEXANDRIA,DOUGLAS,MN,56308,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLOR,DOUGLAS COUNTY,DOUGLAS COUNTY SHERIFF'S OFFICE,ROSEBURG,DOUGLAS,OR,97470,9,SEA,MED,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCORNE,DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,710 SOUTH 17TH ST,OMAHA,DOUGLAS,NE,68102,8,SPM,OMA,IGSA,IGSA,Yes,1,1,4,0,2,5,23,5,0,0,0,0,0,0,0,0,1,5,3,32,0,0,0,0
DUGLSCO,DOUGLAS COUNTY DETENTION FACILITY,4000 JUSTICE WAY,CASTLE ROCK,DOUGLAS,CO,80109,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLCO,DOUGLAS COUNTY JAIL,355 SOUTH WILCOX,CASTLE ROCK,DOUGLAS,CO,80104,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDHOLD,DOVER HOLDROOM,1305 MCD DRIVE,DOVER,KENT,DE,19901,3,PHI,DVD,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRURYCO,DRURY INN,4380 PEORIA ST,DENVER,DENVER,CO,80239,10,DEN,DEN,Other,Other,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPDUB,DUBLIN FEDERAL CORRECTION INSTITUTION,5701 8TH ST - CAMP PARKS,DUBLIN,ALAMEDA,CA,94568,9,SFR,SFR,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPAGIL,DUPAGE COUNTY SHERIFF'S OFFICE,501 NORTH COUNTY FARM ROAD,WHEATON,DUPAGE,IL,60187,7,CHI,CHI,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURHOLD,DURANGO HOLDROOM,32 SHEPPARD DRIVE,DURANGO,FLOYD,CO,81303,10,DEN,DEN,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUVALFL,DUVAL/JACKSONVILLE JAIL,500 EAST ADAMS STREET,JACKSONVILLE,DUVAL,FL,32202,11,MIA,ORL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAGLECO,EAGLE COUNTY JAIL,885 CHAMBERS AVE.,EAGLE,EAGLE,CO,81631,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBATOLA,EAST BATON ROUGE JAIL,2867 GENERAL ISAAC SMITH AVENUE,SCOTLANDVILLE,EAST BATON ROUGE,LA,70807,5,NOL,NOL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFELILA,EAST FELICIANA PARISH PRISON,11315 BANK STREET,CLINTON,EAST FELICIANA,LA,70722,5,NOL,OAK,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHDLGTX,EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,HIDALGO,TX,78562,5,SNA,HLG,USMS IGA,USMS IGA,Yes,0,0,0,0,70,2,0,2,0,0,0,0,0,0,0,0,0,0,68,6,0,0,0,0
EMESACA,EAST MESA DETENTION FACILITY,446 ALTA RD,SAN DIEGO,SAN DIEGO COUNTY,CA,92158,9,SND,SND,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WVEASTR,EASTERN REGIONAL JAIL,1406 CHARLES TOWN ROAD,MARTINSBURG,BERKELEY,WV,25401,4,PHI,YRK,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EASTEVA,EASTERN SHORE REGIONAL JAIL,5245 THE HORNES,EASTVILLE,NORTHAMPTON,VA,23347,4,BAL,,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELJUVCA,EASTLAKE JUVENILE HALL,1605 EASTLAKE AVE,LOS ANGELES,LOS ANGELES,CA,90033,9,LOS,LOS,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOLOWA,ECONOLODGE MOTEL,13910 PACIFIC HIGHWAY S.,TUKWILA,KING,WA,98168,9,SEA,SEA,Other,Other,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECTORTX,ECTOR COUNTY CORRECTION CENTER,2500 SOUTH HIGHWAY 385,ODESSA,ECTOR,TX,79761,5,ELP,ELP,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDCONM,EDDY COUNTY JAIL,201 NORTH MAIN STREET,CARLSBAD,EDDY,NM,88220,10,ELP,ELP,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDENDTX,EDEN DETENTION CENTER,BOX 605,EDEN,CONCHO,TX,76837,5,SNA,EDC,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
