DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
BOPMIL,PO BOX 9999 MILAN MI,845,-83.6836,42.08429,MILAN FEDERAL CORRECTIONAL INSTITUTE,MILAN,MONROE,MI,48160,6,DET,DET,BOP,BOP,No,Female/Male,0,,0,6/17/04,12/4/85,1985,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPMIM,33 NE 4 STREET MIAMI FL,839,-80.193132,25.77846099,MIAMI FEDERAL DETENTION,MIAMI,MIAMI-DADE,FL,33132,11,MIA,KRO,BOP,BOP,No,Female/Male,0,,0,12/2/08,4/3/97,1997,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPMNA,3625 FCI RD MARIANNA FL,790,-85.18827721,30.82821878,MARIANNA FEDERAL CORRECTIONAL INSTITUTE,MARIANNA,JACKSON,FL,32446,11,MIA,KRO,BOP,BOP,No,Female/Male,0,,0,2/2/05,11/4/86,1986,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPNYM,150 PARK ROW NEW YORK NY,900,-74.00159799,40.71303,NEW YORK MCC,NEW YORK,NEW YORK,NY,10007,2,NYC,VRK,BOP,BOP,No,Female/Male,0,,0,8/21/03,11/26/86,1986,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPOAD,2105 E. WHATLEY RD. OAKDALE LA,940,-92.61931316,30.8322574,OAKDALE FEDERAL DETENTION CENTER,OAKDALE,ALLEN,LA,71463,5,NOL,OAK,BOP,BOP,No,Female/Male,0,,0,7/9/15,4/9/90,1990,0,0,0,YES,BOP,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPOAK,P O BOX 5060 OAKDALE LA,938,-92.6643,30.81555,OAKDALE FEDERAL CORRECTIONAL INSTITUTE,OAKDALE,ALLEN,LA,71463,5,NOL,OAK,BOP,BOP,No,Female/Male,0,,0,9/1/97,1/3/89,1989,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPOKL,7500 MACARTHUR BLVD OKLAHOMA CITY OK,951,-97.61625802,35.39090601,OKLAHOMA FEDERAL TRANSFER CENTER,OKLAHOMA CITY,OKLAHOMA,OK,73109,10,DAL,OKC,BOP,BOP,No,Female/Male,0,,0,11/5/03,10/2/95,1995,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPOTV,PO BOX 60 OTISVILLE NY,981,-74.53808,41.46741,OTISVILLE FEDERAL CORRECTIONAL INSTITUTE,OTISVILLE,ORANGE,NY,10963,2,NYC,VRK,BOP,BOP,No,Female/Male,0,,0,8/18/99,12/1/82,1982,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPOXF,P.O. BOX 500 OXFORD WI,986,-89.5273,43.78331,OXFORD FEDERAL CORRECTIONAL INSTITUTE,OXFORD,MARQUETTE,WI,53952,7,CHI,CHI,BOP,BOP,No,Female/Male,0,,0,8/11/05,6/8/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPPEK,2600 2ND STREET PEKIN IL,1005,-89.65948003,40.53464001,PEKIN FEDERAL CORRECTIONAL INSTITUTE,PEKIN,TAZEWELL,IL,61554,7,CHI,CHI,BOP,BOP,No,Female/Male,0,,0,4/27/05,8/30/95,1995,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPPET,PO BOX 1000 PETERSBURG VA,1015,-77.40348,37.22815,PETERSBURG FEDERAL CORRECTIONAL INSTITUTE,PETERSBURG,PETERSBURG CITY,VA,23804,4,WAS,WAS,BOP,BOP,No,Female/Male,0,,0,2/16/05,10/27/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPPHX,37910 N 45TH AVE DEPT 1700 PHOENIX AZ,1020,-112.1657071,33.83350325,PHOENIX FEDERAL CORRECTIONAL INSTITUTE,PHOENIX,MARICOPA,AZ,85027,9,PHO,PHO,BOP,BOP,No,Female/Male,0,,0,11/6/16,5/1/81,1981,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPPOL,1000 AIR BASE ROAD PO BOX 1000 POLLOCK LA,1044,-92.45010783,31.46121415,POLLOCK US PENITENTIARY,POLLOCK,GRANT,LA,71467,5,NOL,OAK,BOP,BOP,No,Female/Male,0,,0,4/4/07,4/28/99,1999,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPRAE,1000 JIM HAMMOCK DR. MCRAE GA,818,-82.87442892,32.05176987,MCRAE CORRECTIONAL FACILITY CCA,MCRAE,TELFAIR,GA,31055,11,ATL,ATL,BOP,BOP,No,Female/Male,0,,0,2/4/14,1/31/14,2014,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPRBK,P.O.BOX 300 RAY BROOK NY,1076,-74.08439,44.29995,RAY BROOK FEDERAL CORRECTIONAL INSTITUTE,RAY BROOK,ESSEX,NY,12977,2,BUF,BUF,BOP,BOP,No,Female/Male,0,,0,7/24/07,9/29/82,1982,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPRCH,P.O. BOX 4600 ROCHESTER MN,1108,-92.45942,44.01932,ROCHESTER FEDERAL MEDICAL CENTER,ROCHESTER,OLMSTED,MN,55903,8,SPM,SPM,BOP,BOP,No,Female/Male,0,,0,10/26/09,1/20/87,1987,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSAF,1529 WEST US HIGHWAY 366 SAFFORD AZ,1129,-109.7220628,32.72207476,SAFFORD FEDERAL CORRECTIONAL INSTITUTE,SAFFORD,GRAHAM,AZ,85546,9,PHO,TUC,BOP,BOP,No,Female/Male,0,,0,3/21/05,10/21/88,1988,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSCH,P.O. BOX 700 MINERSVILLE PA,1189,-76.25895,40.69058,SCHUYLKILL FEDERAL CORRECTIONAL INSTITUTE,MINERSVILLE,SCHUYLKILL,PA,17954,3,PHI,PHI,BOP,BOP,No,Female/Male,0,,0,8/8/05,6/16/92,1992,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSDC,METROPOLITAN CORRECTIONAL CENTER SAN DIEGO CA,1151,-117.16171,32.71568,SAN DIEGO MCC,SAN DIEGO,SAN DIEGO,CA,92101,9,SND,SND,BOP,BOP,No,Female/Male,0,,0,4/9/17,5/1/85,1985,0,0,0,NO,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSEA,2113 N. HIGHWAY 75 SEAGOVILLE TX,1193,-96.61134197,33.65849054,SEAGOVILLE FEDERAL CORRECTIONAL INSTITUTE,SEAGOVILLE,DALLAS,TX,75159,5,DAL,DAL,BOP,BOP,No,Female/Male,0,,0,6/2/05,2/13/86,1986,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSET,2425 S.200TH STREET SEATAC WA,1195,-122.3015597,47.42198267,SEATAC FEDERAL DETENTION CENTER,SEATAC,KING,WA,98198,9,SEA,SEA,BOP,BOP,No,Female/Male,0,,0,10/11/16,2/2/98,1998,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSHE,27072 SOUTHWEST BALLSTON ROAD SHERIDAN OR,1213,-123.38577,45.08438999,SHERIDAN FEDERAL CORRECTIONAL INSTITUTE,SHERIDAN,YAMHILL,OR,97378,9,SEA,COW,BOP,BOP,No,Female/Male,0,,0,10/5/04,9/20/90,1990,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSPG,1900 W. SUNSHINE SPRINGFIELD MO,1239,-93.323182,37.17763,SPRINGFIELD FEDERAL MEDICAL CENTER,SPRINGFIELD,GREENE,MO,65808,8,CHI,SPG,BOP,BOP,No,Male,0,,0,3/12/17,6/15/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPSST,P.O. BOX 999 SANDSTONE MN,1168,-92.86703,46.13099,SANDSTONE FEDERAL CORRECTIONAL INSTITUTE,SANDSTONE,PINE,MN,55072,8,SPM,SPM,BOP,BOP,No,Female/Male,0,,0,4/17/06,12/17/84,1984,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTCN,8901 SOUTH WILMOT ROAD TUCSON AZ,1326,-110.856696,32.089933,TUCSON FEDERAL CORRECTIONAL INSTITUTE,TUCSON,PIMA,AZ,85706,9,PHO,TUC,BOP,BOP,No,Female/Male,0,,0,3/18/16,3/11/88,1988,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTCP,9300 SOUTH WILMOT ROAD TUCSON AZ,1358,-110.858009,32.08600726,US PENITENTIARY TUCSON,TUCSON,PIMA,AZ,85706,9,PHO,TUC,BOP,BOP,No,Female/Male,0,,0,8/21/11,7/5/11,2011,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTDG,565 EAST RENFROE ROAD TALLADEGA AL,1285,-86.14318859,33.42483939,TALLADEGA FEDERAL CORRECTIONAL INSTITUTE,TALLADEGA,TALLADEGA,AL,35160,11,NOL,NOL,BOP,BOP,No,Female/Male,0,,0,2/9/05,7/12/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTEX,PO BOX 9500 TEXARKANA TX,1304,-94.04825,33.42558,TEXARKANA FEDERAL CORRECTIONAL INSTITUTE,TEXARKANA,BOWIE,TX,75505,5,DAL,DAL,BOP,BOP,No,Female/Male,0,,0,7/11/05,10/22/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTHA,HIGHWAY 63 SOUTH TERRE HAUTE IN,1300,-87.41405995,39.47068036,TERRE HAUTE USP,TERRE HAUTE,VIGO,IN,47808,7,CHI,CHI,BOP,BOP,No,Male,0,,0,8/23/17,6/18/80,1980,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPTRV,P.O. BOX 4000 THREE RIVERS TX,1310,-98.1795,28.46961,THREE RIVERS FEDERAL CORRECTIONAL INSTITUTE,THREE RIVERS,LIVE OAK,TX,78071,5,SNA,SNA,BOP,BOP,No,Female/Male,0,,0,3/8/12,2/21/90,1990,0,0,0,NO,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPVIM,UNAVAILABLE VICTORVILLE CA,471,-117.32364,34.51167,FCI VICTORVILLE,VICTORVILLE,SAN BERNARDINO,CA,92392,9,LOS,SBD,BOP,BOP,No,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPWAS,1000 UNIVERSITY DRIVE S.W. WASECA MN,1394,-94.1616817,45.54924823,WASECA FEDERAL CORRECTIONAL INSTITUTE,WASECA,WASECA,MN,56093,8,SPM,SPM,BOP,BOP,No,Female/Male,0,,0,3/13/05,9/2/98,1998,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPYAM,PO BOX 5888 YAZOO CITY MS,1464,-90.41517,32.84784,YAZOO CITY MEDIUM SECURITY FEDERAL CORRECTIONAL IN,YAZOO CITY,YAZOO,MS,39194,5,NOL,OAK,BOP,BOP,No,Female/Male,0,,0,10/20/05,8/1/05,2005,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOPYAZ,2225 HALEY BARBOUR PARKWAY YAZOO CITY MS,1463,-90.41938857,32.87419209,YAZOO CITY FEDERAL CORRECTIONAL INSTITUTE,YAZOO CITY,YAZOO,MS,39194,5,NOL,OAK,BOP,BOP,No,Female/Male,0,,0,3/1/05,9/12/97,1997,0,0,0,,,BOP,,NA,NA,#VALUE!,NA,Not ICE Funded,,NOT INSPECTED,BOP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOSHOLD,10 NEW ENGLAND EXECUTIVE PARK BURLINGTON MA,130,-71.2094791,42.4825859,BOSTON HOLD ROOM,BURLINGTON,MIDDLESEX,MA,1803,1,BOS,BOS,Other,HOLD,Yes,Male,0,,0,7/23/17,8/23/10,2010,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BOTTIND,314 WEST FIFTH ST. BOTTINEAU ND,132,-100.4493596,48.82741044,BOTTINEAU COUNTY JAIL,BOTTINEAU,BOTTINEAU,ND,58318,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,9/28/12,11/21/95,1995,0,0,0,YES,COUNTY,COUNTY,,3/22/93,NA,#VALUE!,NA,$50.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,At-Risk,,7/13/11,,,No,NO,NO,NO,No,,0
BOULDCO,1777 6TH ST. BOULDER CO,133,-105.288867,40.01441698,BOULDER COUNTY JAIL,BOULDER,BOULDER,CO,80302,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,4/16/08,7/26/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOUNDID,6438 KOOTENAI BONNERS FERRY ID,134,-116.3133055,48.69607763,BOUNDARY COUNTY,BONNERS FERRY,BOUNDARY,ID,83805,9,SLC,SEA,IGSA,IGSA,Yes,Female/Male,0,,0,6/12/06,1/9/04,2004,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOWCOTX,100 N. STATE LINE TEXARKANA TX,135,-94.043264,33.42090001,BOWIE COUNTY JAIL,TEXARKANA,HARRIS,TX,77501,5,DAL,DAL,IGSA,IGSA,Yes,Female/Male,0,,0,10/5/08,3/28/07,2007,0,0,0,,,CEC,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,10/16/08,,,No,NO,NO,NO,No,,0
BOXBUNE,512 NIOBRARA AVENUE ALLIANCE NE,136,-102.8694139,42.09935843,BOX BUTTE COUNTY,ALLIANCE,BOX BUTTE,NE,69301,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,10/7/02,2/25/99,1999,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BOXELUT,21 SOUTH MAIN BRIGHAM UT,137,-112.015731,41.51011571,BOX ELDER COUNTY,BRIGHAM,BOX ELDER,UT,84302,10,SLC,SLC,IGSA,IGSA,Yes,Female/Male,0,,0,9/29/04,6/3/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BPC,U.S. COAST GUARD SUPPORT CENTER BOSTON MA,131,-71.15992834,42.27266951,BOSTON SPC,BOSTON,SUFFOLK,MA,2109,1,BOS,BOS,Other,Other,Yes,Female/Male,0,,0,11/8/16,4/25/89,1989,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,$75.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BPHOSOH,615 CHURCH HILL-HUBBARD ROAD YOUNGSTOWN OH,94,-80.655673,41.16109801,BELLMONT PINES HOSPITAL,YOUNGSTOWN,MAHONING,OH,44505,6,DET,CLE,Other,HOSPITAL,No,Female/Male,0,,0,6/9/04,1/10/00,2000,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
BRADEFL,515 11TH STREET WEST BRADENTON FL,138,-82.57262259,27.49411276,BRADENTON DETENTION CENTER,BRADENTON,MANATEE,FL,34205,11,MIA,TAM,IGSA,IGSA,Yes,Female/Male,0,,0,6/8/09,2/29/96,1996,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BRAZITX,3602 COUNTY ROAD 45 ANGELTON TX,139,-95.40669285,29.24484077,BRAZORIA COUNTY DETENTION,ANGELTON,BRAZORIA,TX,77515,5,HOU,HOU,IGSA,IGSA,Yes,Female/Male,0,,0,3/24/04,6/5/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BRAZOTX,300 E 26TH ST # 105 BRYAN TX,140,-96.37061803,30.673926,BRAZOS COUNTY JAIL,BRYAN,BRAZOS,TX,77801,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,1/21/03,12/3/98,1998,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,4/28/06,,,No,NO,NO,NO,No,,0
BRCHOLD,515 INDUSTRIAL PARK ROAD BRUSH CO,165,-103.62505,40.27222999,BRUSH HOLDROOM,BRUSH,MORGAN,CO,80723,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BREMEIA,111 4TH STREET NE WAVERLY IA,141,-92.46598999,42.72651,BREMER COUNTY JAIL,WAVERLY,BREMER,IA,50677,8,SPM,,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,10/4/17,5/14/97,1997,1,0,0,,,,,1/13/17,NA,#VALUE!,NA,b)(4),,AUTHORIZED,DMCP,Under 72,Local Standards,,No,Acceptable,,9/21/17,Acceptable,,No,NO,NO,NO,No,,1
BREVDFL,860 CAMP ROAD COCOA FL,142,-80.78176096,28.44815599,BREVARD COUNTY JAIL COMPLEX,COCOA,BREVARD,FL,32927,11,MIA,ORL,IGSA,IGSA,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BREWSTX,307 WEST SUL ROSS AVENUE ALPINE TX,143,-103.66416,30.35888001,BREWSTER COUNTY JAIL,ALPINE,BREWSTER,TX,79830,5,ELP,EPC,IGSA,IGSA,Yes,Female/Male,0,,0,7/7/08,7/7/08,2008,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,12/19/06,,,No,NO,NO,NO,No,,0
BRGMCFL,1600 SOUTH ANDREWS AVENUE FT. LAUDERDALE FL,160,-80.14105801,26.10165301,BROWARD GENERAL MEDICAL CENTER,FT. LAUDERDALE,BROWARD,FL,33316,11,MIA,KRO,Other,HOSPITAL,No,Female/Male,0,,0,7/30/17,12/19/10,2010,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
BRIJUTX,3103 WEST AVENUE SAN ANTONIO TX,1306,-98.52670797,29.488838,THE BRIDGE (YOUTH ALTERNATIVE),SAN ANTONIO,BEXAR,TX,78213,5,SNA,SNA,IGSA,JUVENILE,Yes,Female/Male,0,,0,9/14/04,1/19/99,1999,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
BRINBMA,226 ASH ST NEW BEDFORD MA,147,-70.93461285,41.63379036,BRISTOL COUNTY JAIL (NEW BEDFORD),NEW BEDFORD,BRISTOL,MA,2740,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,1/22/03,9/21/00,2000,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BRINDMA,400 FAUNCE CORNER ROAD NORTH DARTMOUTH MA,146,-70.99575623,41.66550606,BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,BRISTOL,MA,2747,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,193,11/4/17,8/19/96,1996,199,122,55,YES,COUNTY,COUNTY (SHERIFF),COUNTY,9/27/07,NA,#VALUE!,NA,$98.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,PBNDS 2008,,No,Meets Standard,Meets Standard,5/4/17,Meets Standard,,No,YES,YES,NO,Yes,ROVING,35
BRKHOLD,1243 COUNTY WELFARE RD LEESPORT PA,105,-76.01551301,40.38325001,BERKS HOLD ROOM,LEESPORT,BERKS,PA,19533,3,PHI,,Other,HOLD,Yes,Female/Male,0,,0,10/17/17,1/27/17,2017,1,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,2
BRNPDMI,23125 KING ROAD BROWNSTOWN MI,163,-83.25807498,42.15266299,BROWNSTOWN POLICE DEPARTMENT,BROWNSTOWN,WAYNE,MI,48183,6,DET,DET,IGSA,IGSA,Yes,Female/Male,0,,0,8/29/04,3/17/04,2004,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BROADMT,519 BROADWAY TOWNSEND MT,149,-111.51556,46.32142998,BROADWATER COUNTY SHERIFF,TOWNSEND,BROADWATER,MT,59644,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,3/31/10,6/9/06,2006,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,5/16/07,,,No,NO,NO,NO,No,,0
BROCRFL,P.O. BOX 8540 PEMBROKE PINES FL,158,-80.28011,26.00811,BROWARD CORRECTIONAL,PEMBROKE PINES,CHARLES MIX,FL,33332,11,MIA,KRO,IGSA,IGSA,Yes,Female/Male,0,,0,4/20/09,3/6/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BROJAFL,555 SE 1ST AVENUE FT.LAUDERDALE FL,159,-80.14275959,26.11539316,BROWARD COUNTY JAIL,FT.LAUDERDALE,BROWARD,FL,33301,11,MIA,KRO,IGSA,IGSA,Yes,Female/Male,0,,0,1/23/17,1/10/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BROKSTX,901 COUNTY ROAD 201 FALFURRIAS TX,154,-98.12648601,27.24768498,BROOKS COUNTY DETENTION CENTER,FALFURRIAS,BROOKS,TX,78355,5,SNA,PIC,USMS IGA,USMS IGA,Yes,Male,200,19%,41,11/4/17,7/3/05,2005,51,37,1,YES,PNA MEDICAL SERVICES,GEO,COUNTY,3/22/11,NA,#VALUE!,NA,b)(4),Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,COR Detention Standards,,No,Acceptable,Acceptable,4/13/17,Acceptable,,No,NO,NO,NO,No,NONE,35
BROMMNY,897 FRONT STREET BINGHAMPTON NY,156,-75.90595412,42.13065011,BROOME COUNTY JAIL,BINGHAMPTON,BROOME,NY,13905,2,BUF,BUF,IGSA,IGSA,Yes,Female/Male,0,,0,3/12/14,1/10/94,1994,0,0,0,YES,,COUNTY,,NA,NA,#VALUE!,NA,$97.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,10/8/08,,,No,NO,NO,NO,No,,0
BROOKSD,315 7TH AVENUE BROOKINGS SD,152,-96.79368364,44.30812193,BROOKINGS COUNTY JAIL (SOUTH DAKOTA),BROOKINGS,BROOKINGS,SD,57006,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,11/29/05,6/26/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
